Date,KO,PEP,spread
2012-01-03,23.08921241760254,44.59901428222656,-39.606333682059855
2012-01-04,22.94437026977539,44.82735061645508,-38.849764368850146
2012-01-05,22.835744857788086,44.47809982299805,-38.802863035126705
2012-01-06,22.690900802612305,43.920631408691406,-38.832091514435106
2012-01-09,22.690900802612305,44.14897918701172,-38.603743736114794
2012-01-10,22.82585906982422,44.10197448730469,-39.142935334434824
2012-01-11,22.404497146606445,43.66538619995117,-38.042835114543976
2012-01-12,22.24319839477539,43.40343475341797,-37.716537066963454
2012-01-13,22.052274703979492,43.255672454833984,-37.16800901456787
2012-01-17,22.1707820892334,43.423580169677734,-37.43229255125573
2012-01-18,22.249778747558594,43.557926177978516,-37.586043901235456
2012-01-19,22.203702926635742,44.2698974609375,-36.70603611432925
2012-01-20,22.41437530517578,44.5184211730957,-37.22582535371649
2012-01-23,22.559215545654297,44.39751052856445,-37.87496202121187
2012-01-24,22.351829528808594,44.464664459228516,-37.051480356384545
2012-01-25,22.52630043029785,44.80051040649414,-37.35192215700006
2012-01-26,22.388038635253906,44.67959213256836,-36.9686057107772
2012-01-27,22.200408935546875,44.20271682739258,-36.761203706423785
2012-01-30,22.206985473632812,43.934051513671875,-37.05385336694293
2012-01-31,22.230039596557617,44.10869216918945,-36.96329008954392
2012-02-01,22.335371017456055,44.58557891845703,-36.87054242600644
2012-02-02,22.32879066467285,44.59901428222656,-36.83310880340436
2012-02-03,22.411088943481445,44.773651123046875,-36.95861018638314
2012-02-06,22.394628524780273,44.67959213256836,-36.99263874969502
2012-02-07,22.56580352783203,44.84080505371094,-37.45569357896615
2012-02-08,22.493383407592773,44.82735061645508,-37.20503500473994
2012-02-09,22.374881744384766,43.168338775634766,-38.4318764620798
2012-02-10,22.365005493164062,42.953407287597656,-38.610789693816926
2012-02-13,22.52959442138672,42.77878189086914,-39.385663714075434
2012-02-14,22.68102264404297,42.66460418701172,-40.052093523797765
2012-02-15,22.516427993774414,42.362335205078125,-39.7540930141502
2012-02-16,22.667863845825195,42.13396453857422,-40.53474361058721
2012-02-17,22.730398178100586,42.10037612915039,-40.796391995107854
2012-02-21,22.654682159423828,42.40934753417969,-40.211287581129056
2012-02-22,22.796234130859375,42.38249206542969,-40.75437689944397
2012-02-23,22.7731990814209,42.40264129638672,-40.6502198505389
2012-02-24,22.713937759399414,42.52354049682617,-40.313197200265435
2012-02-27,22.657976150512695,42.53025436401367,-40.10239379274546
2012-02-28,22.664566040039062,42.53025436401367,-40.12642683166327
2012-02-29,22.997034072875977,42.621673583984375,-41.247503988168845
2012-03-01,22.91145133972168,42.35758972167969,-41.19947136530931
2012-03-02,22.7731990814209,42.3372688293457,-40.71559231757992
2012-03-05,22.789655685424805,42.52009963989258,-40.592778022165575
2012-03-06,22.634931564331055,42.17473602294922,-40.373869535776606
2012-03-07,22.644807815551758,42.40497589111328,-40.179647923912526
2012-03-08,22.802820205688477,42.62844467163086,-40.53244342012651
2012-03-09,22.881818771362305,42.76388168334961,-40.68511072270533
2012-03-12,23.09250831604004,43.29884338378906,-40.91852457796479
2012-03-13,23.294784545898438,43.569725036621094,-41.38533548961128
2012-03-14,23.284833908081055,43.3801155090332,-41.53865547623411
2012-03-15,23.321308135986328,43.45461654663086,-41.597174352739316
2012-03-16,23.264936447143555,43.65776443481445,-41.18844138055687
2012-03-19,23.344520568847656,43.83382797241211,-41.302617654492025
2012-03-20,23.407520294189453,44.206268310546875,-41.159934559614996
2012-03-21,23.583274841308594,44.26044845581055,-41.746723561709075
2012-03-22,23.682750701904297,44.28077697753906,-42.0891791533582
2012-03-23,23.705961227416992,44.219825744628906,-42.23477815778526
2012-03-26,23.8419132232666,44.54486846923828,-42.405546416673445
2012-03-27,23.831966400146484,44.700626373291016,-42.21351288368977
2012-03-28,24.09393310546875,44.64643478393555,-43.223085591194675
2012-03-29,24.475265502929688,44.7073860168457,-44.55283693563939
2012-03-30,24.541595458984375,44.93085861206055,-44.57126678945666
2012-04-02,24.584692001342773,45.1949462890625,-44.46435031776528
2012-04-03,24.458694458007812,45.07306671142578,-44.1267223649036
2012-04-04,24.359210968017578,44.9240837097168,-43.91289342916673
2012-04-05,24.36252784729004,44.79543685913086,-44.05363679340768
2012-04-09,24.163572311401367,44.25366973876953,-43.86982177497961
2012-04-10,23.881702423095703,43.915103912353516,-43.180420445299035
2012-04-11,23.914871215820312,44.11824035644531,-43.098249137757406
2012-04-12,23.948026657104492,44.27398681640625,-43.06341912222726
2012-04-13,23.855173110961914,44.057289123535156,-42.941483992928426
2012-04-16,24.02097511291504,44.68706130981445,-42.916384457024776
2012-04-17,24.52168846130371,44.964717864990234,-44.46480758654572
2012-04-18,24.59464454650879,44.83605194091797,-44.859541162891915
2012-04-19,24.478588104248047,44.79543685913086,-44.47690347506041
2012-04-20,24.581378936767578,45.12046432495117,-44.526749680255705
2012-04-23,24.435474395751953,44.815731048583984,-44.299375476143226
2012-04-24,24.578060150146484,45.03920364379883,-44.59590689173598
2012-04-25,24.84665870666504,45.147552490234375,-45.46712523474285
2012-04-26,25.10530662536621,44.944400787353516,-46.613554586101074
2012-04-27,25.41037368774414,44.76156997680664,-47.90895163214208
2012-04-30,25.307579040527344,44.69385528564453,-47.601778740254474
2012-05-01,25.509851455688477,45.025657653808594,-48.00765502453483
2012-05-02,25.586124420166016,45.25590515136719,-48.05557169290519
2012-05-03,25.678966522216797,45.31008529663086,-48.33998263370913
2012-05-04,25.533063888549805,44.62611389160156,-48.49185351427582
2012-05-07,25.625911712646484,45.11370086669922,-48.34287849329692
