Date,KO,PEP,spread,rolling_mean,rolling_std,z_score,signal,position,cumulative_returns
2012-01-03,23.08921241760254,44.59901428222656,-39.606333682059855,,,,0,0.0,
2012-01-04,22.94437026977539,44.82735061645508,-38.84976436885015,,,,0,0.0,1.0
2012-01-05,22.83574485778809,44.47809982299805,-38.80286303512671,,,,0,0.0,1.0
2012-01-06,22.690900802612305,43.920631408691406,-38.83209151443511,,,,0,0.0,1.0
2012-01-09,22.690900802612305,44.14897918701172,-38.6037437361148,,,,0,0.0,1.0
2012-01-10,22.82585906982422,44.10197448730469,-39.14293533443482,,,,0,0.0,1.0
2012-01-11,22.404497146606445,43.66538619995117,-38.042835114543976,,,,0,0.0,1.0
2012-01-12,22.24319839477539,43.40343475341797,-37.716537066963454,,,,0,0.0,1.0
2012-01-13,22.05227470397949,43.255672454833984,-37.16800901456787,,,,0,0.0,1.0
2012-01-17,22.1707820892334,43.42358016967773,-37.43229255125573,,,,0,0.0,1.0
2012-01-18,22.249778747558597,43.55792617797852,-37.586043901235456,,,,0,0.0,1.0
2012-01-19,22.203702926635746,44.2698974609375,-36.70603611432925,,,,0,0.0,1.0
2012-01-20,22.41437530517578,44.5184211730957,-37.22582535371649,,,,0,0.0,1.0
2012-01-23,22.559215545654297,44.39751052856445,-37.87496202121187,,,,0,0.0,1.0
2012-01-24,22.351829528808597,44.46466445922852,-37.05148035638455,,,,0,0.0,1.0
2012-01-25,22.52630043029785,44.80051040649414,-37.35192215700006,,,,0,0.0,1.0
2012-01-26,22.388038635253903,44.67959213256836,-36.9686057107772,,,,0,0.0,1.0
2012-01-27,22.200408935546875,44.20271682739258,-36.761203706423785,,,,0,0.0,1.0
2012-01-30,22.20698547363281,43.93405151367188,-37.05385336694293,,,,0,0.0,1.0
2012-01-31,22.230039596557617,44.10869216918945,-36.96329008954392,,,,0,0.0,1.0
2012-02-01,22.33537101745605,44.58557891845703,-36.87054242600644,,,,0,0.0,1.0
